token,0,1,sub
darwin,3,4,1
==,1718,1070,-648
yes,98,44,-54
$,506,286,-220
compiler,33,17,-16
.,2000,1118,-882
build,32,18,-14
cc,82,20,-62
compile_prog,40,24,-16
check,413,219,-194
case,652,335,-317
broken,18,19,1
cc\,4,1,-3
either,137,89,-48
autodetect,2,1,-1
valid,152,75,-77
without,185,127,-58
executable,4,4,0
testing,37,30,-7
works,42,15,-27
work,159,85,-74
allows,40,21,-19
right,53,42,-11
's,295,163,-132
fi,145,65,-80
message,42,31,-11
printed,2,3,1
write_c_skeleton,1,1,0
?,626,376,-250
bail,3,7,4
else,1492,806,-686
help,31,22,-9
var,57,24,-33
compile_object,1,3,2
error_exit,16,12,-4
cpu,479,194,-285
!,2521,1553,-968
ok,47,28,-19
ensures,15,12,-3
host,207,104,-103
also,144,71,-73
c,325,185,-140
exist,37,19,-18
linker,22,4,-18
\,500,297,-203
values,110,66,-44
1,2109,1267,-842
second,37,24,-13
tmp,90,68,-22
disasops,6,4,-2
cpu_env,85,50,-35
care,27,20,-7
negative,28,25,-3
get_field,11,9,-2
ssf,2,2,0
anything,33,24,-9
os,36,17,-19
env-,546,229,-317
fields,61,33,-28
time,117,69,-48
store,69,33,-36
defined,310,131,-179
could,163,106,-57
tcg_gen_qemu_ld64,2,2,0
uint64_t,486,324,-162
tcg_gen_addi_i64,5,1,-4
env,537,224,-313
exitstatus,7,6,-1
no_exit,7,4,-3
return,2522,1598,-924
get_address,3,1,-2
b2,3,2,-1
fake,15,6,-9
0,3095,2030,-1065
d2,6,2,-4
reset,103,49,-54
-,1069,679,-390
define,969,449,-520
timer,81,46,-35
tcg_temp_new_i64,20,4,-16
first,167,125,-42
tcgv_i64,28,6,-22
used,302,140,-162
endif,705,288,-417
config_user_only,102,40,-62
static,1922,984,-938
third,4,3,-1
qemu_clock_get_ns,17,12,-5
tcg_temp_free_i64,23,7,-16
operands,2,2,0
i64,21,11,-10
d1,9,2,-7
process,47,45,-2
n't,493,362,-131
extract,5,8,3
get,198,113,-85
load,64,41,-23
fetch,28,11,-17
in1,3,2,-1
*,4227,2634,-1593
qemu_clock_virtual,30,11,-19
regs,97,41,-56
tcg_gen_mov_i64,11,5,-6
b1,4,6,2
r3,17,7,-10
/,2970,1678,-1292
in2,10,2,-8
def_helper_flags_1,4,3,-1
tcg_call_no_rwg,5,4,-1
interrupt,91,59,-32
uint64_max,16,16,0
cputm,4,1,-3
disascontext,84,35,-49
modifying,3,2,-1
o-,13,4,-9
cpus390xstate,35,4,-31
s-,1046,801,-245
get_mem_index,6,4,-2
int,1955,1056,-899
addr1,18,11,-7
tcg_gen_sub_i64,2,2,0
helper,69,33,-36
operand,4,3,-1
len,313,216,-97
errp,507,355,-152
priu32,16,11,-5
error_setg,284,217,-67
length,163,90,-73
max,130,84,-46
%,1238,804,-434
larger,25,21,-4
nbd_max_buffer_size,6,3,-3
u,66,61,-5
-einval,157,140,-17
null,1312,930,-382
mcast,1,2,1
support,248,109,-139
cpus,77,36,-41
multiple,92,47,-45
dc-,126,80,-46
reason,37,42,5
serial_hds,13,7,-6
uses,67,39,-28
false,687,365,-322
board,14,10,-4
realize,34,19,-15
user_creatable,4,13,9
container_of,77,27,-50
monitor_disas_is_physical,1,1,0
myaddr,1,2,1
info,125,77,-48
cpu_physical_memory_read,12,7,-5
monitor_read_memory,1,1,0
memaddr,1,2,1
cpu_memory_rw_debug,4,6,2
bfd_byte,2,1,-1
is_physical,1,3,2
bfd_vma,1,1,0
struct,651,368,-283
config,97,42,-55
conf,15,6,-9
void,1799,897,-902
udev,3,1,-2
extern,85,31,-54
encoutput.offset,1,1,0
qio_channel_websock_max_buffer,1,2,1
rawoutput.offset,1,2,1
amount,16,9,-7
buffers,14,7,-7
allow,91,54,-37
wioc-,2,2,0
div_round_up,34,13,-21
cpu_to_dump32,1,2,1
vmcoreinfo,1,1,0
note_size,3,3,0
cpu_to_dump64,1,2,1
+,988,669,-319
name_size,5,6,1
4,559,297,-262
bs-,257,172,-85
backing,69,41,-28
bdrv_attach_child,1,1,0
bdrv_set_backing_hd,4,4,0
failed,184,192,8
must,334,190,-144
set,438,237,-201
zu,15,16,1
auth=,1,1,0
subauth,5,2,-3
s\n,142,75,-67
sasl.conn,1,2,1
negotiated,3,5,2
name=,3,5,2
sasl.username,1,1,0
query,15,7,-8
\n,281,155,-126
d\n,105,69,-36
init,76,35,-41
much,24,25,1
version,260,146,-114
access\n,3,1,-2
user,125,68,-57
large,45,54,9
name,490,281,-209
authentication,11,5,-6
ioc,14,25,11
bytes,178,144,-34
vnc,23,14,-9
trace.h,19,18,-1
include,737,302,-435
size_t,170,140,-30
connection,59,36,-23
state,257,129,-128
datalen,6,3,-3
subauth=,1,1,0
size=,5,6,1
nil,1,1,0
vencrypt,6,3,-3
vs,47,43,-4
method,42,12,-30
err,220,200,-20
username,7,5,-2
mechs,1,1,0
const,888,433,-455
sasl,6,2,-4
data,529,333,-196
reply,16,16,0
auth,17,4,-13
long,166,114,-52
p,210,136,-74
val,240,148,-92
vs-,61,42,-19
passed,44,24,-20
expect,19,15,-4
acl,6,5,-1
websock,1,1,0
denied,2,3,1
continue\n,1,3,2
mechanism,17,5,-12
ret=,3,3,0
weak,3,1,-2
got,29,13,-16
successful,16,8,-8
allowed,60,23,-37
ret,791,583,-208
found,120,66,-54
state=,2,2,0
allowing,6,6,0
step,23,6,-17
display,27,9,-18
rejected,4,7,3
vnc_debug,10,8,-2
using,158,86,-72
client,56,47,-9
p\n,5,5,0
major,10,4,-6
start,191,114,-77
char,751,432,-319
minor,12,3,-9
activated,4,2,-2
as-,10,4,-6
flatview,1,2,1
atomic_cmpxchg,5,7,2
atomic_read,26,11,-15
ptr,72,44,-28
view,11,3,-8
somebody,1,1,0
current_map,2,4,2
atomic_inc,4,5,1
view-,1,1,0
flatview_ref,1,1,0
atomic_rcu_read,7,6,-1
typeof,9,4,-5
returns,140,83,-57
concurrently,4,4,0
replaced,13,5,-8
bool,779,388,-391
ref,9,5,-4
'guest-fsfreeze-status,1,1,0
g_usec_per_sec,3,1,-2
g_test_add_data_func,9,4,-5
g_getenv,1,1,0
value,472,256,-216
g_assert_cmpstr,18,11,-7
old,85,51,-34
'guest-fsfreeze-thaw,1,1,0
qlist,21,9,-12
int64_t,258,173,-85
g_assert_cmpint,40,23,-17
'execute,14,12,-2
frozen,5,5,0
10,155,82,-73
status,183,123,-60
g_assert_nonnull,7,3,-4
qobject_to_qdict,30,11,-19
entry-,33,23,-10
',749,468,-281
'guest-get-time,1,1,0
qdict_haskey,30,9,-21
4194304,1,1,0
back,70,43,-27
qmp_fd,3,4,1
qmp_assert_no_error,1,1,0
'guest-fsfreeze-freeze,1,1,0
g_free,316,387,71
g_strdup_printf,89,55,-34
g_assert,153,91,-62
qdict_get_try_str,16,12,-4
list,175,104,-71
paths,12,7,-5
arguments,42,23,-19
fixture-,4,2,-2
qdict,104,47,-57
fix,42,24,-18
fixture,2,2,0
current,124,70,-54
prid64,51,34,-17
minimum,22,6,-16
1000,46,20,-26
'arguments,13,10,-3
qlist_first,16,7,-9
testfixture,2,1,-1
qdict_get_int,22,6,-16
fd,204,158,-46
gchar,41,19,-22
qdecref,59,39,-20
qdict_get_qlist,2,5,3
entry,151,97,-54
gconstpointer,12,7,-5
qlistentry,8,3,-5
cmd,78,52,-26
run_state_paused,4,8,4
run_state_postmigrate,2,3,1
run_state_finish_migrate,2,5,3
cache\n,3,2,-1
resize,17,8,-9
size,587,428,-159
i++,392,196,-196
move,21,9,-12
cache,75,35,-40
@,528,263,-265
keep,48,25,-23
page_size,21,6,-15
inited,6,4,-2
pow2floor,3,3,0
dprintf,91,56,-35
creating,17,15,-2
page,136,67,-69
pointer,87,42,-45
new_cache,1,2,1
extra,25,24,-1
num_pages,2,1,-1
freed,15,13,-2
new,163,84,-79
collision,7,4,-3
cache-,2,5,3
pagecache,2,5,3
error,646,430,-216
success,80,69,-11
pages,51,32,-19
-1,630,465,-165
cache_init,2,3,1
||,939,535,-404
member,41,18,-23
'str,48,25,-23
qapisemerror,7,1,-6
raise,50,30,-20
branches,11,6,-5
'alt,4,4,0
'one,5,6,1
'data,88,45,-43
key,97,54,-43
alternate,15,8,-7
'two,2,5,3
type,386,158,-228
'bool,18,12,-6
ca,120,112,-8
+=,518,247,-271
types_seen,1,2,1
'number,5,3,-2
distinguished,1,2,1
conflict,6,9,3
'alternate,13,3,-10
'one',2,2,0
qapi-schema,9,8,-1
qtype,11,7,-4
conflicting,9,1,-8
types,64,27,-37
scalar,2,7,5
be_drivers,1,1,0
qapi_enum_parse,6,4,-2
continue,174,102,-72
qapi/util.h,4,3,-1
strcmp,156,56,-100
desc,53,23,-30
error_report,241,176,-65
assert,502,340,-162
driver,90,53,-37
tpm,13,3,-10
register,163,66,-97
memcpy,114,62,-52
signature_offset,1,1,0
firmware,21,9,-12
signature_addr,1,1,0
low,23,10,-13
strlen,79,41,-38
uint8_t,387,225,-162
sprintf,23,9,-14
boot_sector,1,2,1
x,224,160,-64
i386,28,9,-19
0x09,12,9,-3
readb,6,7,1
q35,9,7,-2
signature_low,1,1,0
arch,29,20,-9
based,70,31,-39
g_str_equal,16,5,-11
feature,61,19,-42
code,278,114,-164
machine,127,64,-63
signature,22,9,-13
boot_sector_address,1,1,0
qtest_get_arch,14,5,-9
ppc64,17,8,-9
requires,66,44,-22
instead,83,48,-35
memory,221,129,-92
signature_high,1,1,0
sector,66,44,-22
open,105,104,-1
g_assert_not_reached,26,11,-15
512,114,105,-9
x86_64,15,10,-5
g_malloc0,96,76,-20
write,266,181,-85
forth,3,2,-1
x86,17,5,-12
bug,36,33,-3
system,93,44,-49
boot_code,1,1,0
sizeof,683,478,-205
disk,74,58,-16
boot,33,14,-19
script,11,10,-1
use,418,214,-204
high,26,11,-15
0x0a,10,4,-6
internal,41,28,-13
hypercalls,1,2,1
device,420,264,-156
handling,42,20,-22
blk,76,39,-37
functions,75,30,-45
crashes,1,8,7
pio_aiocb,1,1,0
temporary,23,17,-6
workaround,9,11,2
xxx,155,86,-69
remove,51,44,-7
handle,120,67,-53
blk_bs,23,14,-9
detect,21,21,0
elf,7,10,3
ph-,2,1,-1
portion,6,4,-2
packed,6,3,-3
spec,30,19,-11
loader,6,5,-1
done,149,94,-55
overlapping,6,6,0
mem_size,8,2,-6
filesz,1,1,0
honour,1,1,0
runtime,13,13,0
checking,38,23,-15
world,4,3,-1
explicitly,36,17,-19
physical,54,23,-31
address,252,93,-159
assume,36,23,-13
another,48,30,-18
flash,6,3,-3
whether,119,57,-62
j++,19,16,-3
somewhat,1,2,1
header,85,77,-8
try,115,89,-26
overlaps,9,11,2
purpose,104,67,-37
break,654,343,-311
invalid,237,155,-82
execution,44,15,-29
segment,25,8,-17
represents,6,4,-2
one,217,138,-79
specifies,18,11,-7
truncate,11,9,-2
p_memsz,1,2,1
elf_phdr,2,1,-1
files,66,47,-19
phdr,5,3,-2
loaded,24,14,-10
paddr,18,1,-17
file_size,3,6,3
segments,8,7,-1
considered,16,9,-7
reject,24,15,-9
j,54,31,-23
embedded,8,3,-5
later,201,121,-80
virtual,77,36,-41
even,153,119,-34
p_type,1,2,1
means,69,49,-20
like,84,47,-37
p_paddr,1,2,1
rom,40,20,-20
would,98,66,-32
common,54,28,-26
overlap,21,14,-7
end,189,116,-73
field,111,47,-64
file,396,283,-113
scheme,8,2,-6
n,216,110,-106
args_tmp,1,1,0
min,129,84,-45
array_size,86,55,-31
os.remove,9,7,-2
target_img,5,4,-1
0xffffffff,47,27,-20
overflow,17,54,37
infinite,6,6,0
loop,109,42,-67
goto,542,468,-74
obj,232,120,-112
dev,335,205,-130
typedef,298,152,-146
parent_class,15,3,-12
adapter_routes_max_batch,3,1,-2
fail,144,175,31
.class_size,17,6,-11
devicerealize,5,3,-2
oc,48,11,-37
flic,4,2,-2
max_batch,2,1,-1
object_class_check,14,4,-10
object_get_class,14,6,-8
klass,44,26,-18
adapter_routes_max_gsi,2,1,-1
property,90,33,-57
big,26,19,-7
s390flicstateclass,1,1,0
parent_realize,4,3,-1
inteliommustate,12,3,-9
guests,24,19,-5
vtd_get_long_raw,1,1,0
prix16,5,2,-3
inline,274,124,-150
entries,64,45,-19
iq,1,2,1
descriptors,20,12,-8
uint16_t,156,85,-71
vtd_queued_inv_enable_check,1,1,0
vtd_gsts_qies,1,1,0
iqa_val,1,1,0
away,27,21,-6
8,384,223,-161
dmar_gsts_reg,1,1,0
invalidation,6,3,-3
queued,9,6,-3
report,44,30,-14
iq_tail,1,1,0
0x,137,82,-55
tail,23,17,-6
2^,1,2,1
vtd_fsts_iqe,1,1,0
true,744,413,-331
windows,31,23,-8
known,31,16,-15
1ul,23,11,-12
vtd_set_clear_mask_long,1,1,0
iq_size,1,1,0
dmar_fsts_reg,1,1,0
qi_enabled,1,1,0
way,59,40,-19
x+8,1,1,0
vtd_iqa_qs,1,1,0
violation,6,2,-4
vtd_iqa_iqa_mask,1,1,0
kvm_enabled,94,32,-62
kvm_has_many_ioeventfds,1,1,0
object,322,174,-148
acpi_nvdimm_state.is_enabled,3,1,-2
missing,53,32,-21
'-m,1,1,0
object_dynamic_cast,29,27,-2
is_nvdimm,2,1,-1
local_err,153,118,-35
type_nvdimm,8,2,-6
nvdimm,30,3,-27
pcms-,26,9,-17
enabled,101,49,-52
'nvdimm,1,2,1
indicate,27,10,-17
toggle,3,1,-2
bit,187,115,-72
power,42,27,-15
|,661,380,-281
shutdown_cause_guest_shutdown,2,3,1
setting,60,31,-29
offset,319,243,-76
keeps,7,4,-3
request,108,91,-17
qemu_system_shutdown_request,5,7,2
manually,14,16,2
pmu,7,2,-5
sysemu/sysemu.h,23,10,-13
off\n,2,1,-1
interested,2,3,1
bootloader,3,4,1
qemu,330,178,-152
usually,11,10,-1
indicator_state,1,1,0
drc-,12,5,-7
caller,61,34,-27
--,331,182,-149
counted,1,1,0
drc,18,9,-9
least,48,36,-12
ds-,17,12,-5
f,182,116,-66
qemu_fclose,5,6,1
ib,1,5,4
minus,4,5,1
readable,9,6,-3
kib,13,20,7
unsigned,399,226,-173
log2,2,4,2
1000.0,2,2,0
ei,2,2,0
iec,2,2,0
returned,60,29,-31
1024,97,74,-23
us,64,43,-21
string,98,53,-45
1ull,61,30,-31
ti,10,7,-3
'm,14,8,-6
val/div,1,2,1
mi,2,1,-1
g,29,17,-12
exponent,1,3,2
suffixes,5,4,-1
pi,1,2,1
e,50,48,-2
responsible,7,8,1
integer,36,26,-10
see,296,139,-157
switch,301,146,-155
makes,42,23,-19
passing,8,5,-3
floor,2,4,2
mib,11,14,3
gives,14,10,-4
div,2,2,0
b,104,55,-49
k,48,27,-21
double,37,22,-15
human,6,3,-3
units,9,9,0
sb,3,4,1
binary,18,15,-3
higher,12,10,-2
part,45,33,-12
16,247,147,-100
psize,1,5,4
't,13,6,-7
priu64,30,17,-13
correction,1,3,2
ram_size,40,27,-13
addr,387,198,-189
addressspace,18,7,-11
cpu-,244,79,-165
big_endian,1,1,0
note,170,103,-67
//www.vmware.com/software/dosidle210.zip,1,1,0
idle,17,15,-2
problem,21,21,0
cycles,5,3,-2
needed,71,43,-28
//web.archive.org/web/20051222085335/http,1,1,0
utility,7,4,-3
//web.archive.org/web/20060212132151/http,1,1,0
url,9,5,-4
tool,3,7,4
http,86,65,-21
solve,4,1,-3
//www.user.cityline.ru/~maxamn/amnhltm.zip,1,1,0
2000,5,2,-3
takes,17,11,-6
install,26,11,-15
6,199,100,-99
diag,2,2,0
bl.max_transfer,5,4,-1
qemu_is_aligned,13,5,-8
block,204,134,-70
guarantees,4,3,-1
layer,29,15,-14
bl.request_alignment,7,3,-4
sanity,6,13,7
update,84,70,-14
cirrus,2,3,1
31,63,67,4
explicit,14,12,-2
5,214,110,-104
memset,137,110,-27
|=,414,185,-229
hardware,42,27,-15
cursor,6,3,-3
0x1f,49,26,-23
height,23,26,3
target_page_size,67,33,-34
nr,29,14,-15
test_and_clear_bit,2,1,-1
space,108,65,-43
within,46,22,-24
next,239,119,-120
rb-,1,4,3
dirty,46,26,-20
target_page_mask,65,11,-54
target_page_bits,36,14,-22
rs,22,14,-8
test_bit,20,6,-14
block-,26,14,-12
idstr,7,11,4
number,195,115,-80
bitmap,48,31,-17
ram_addr,12,9,-3
global,46,23,-23
clear_bit,10,2,-8
rs-,3,6,3
ram_addr_t,55,31,-24
d-,89,51,-38
saddr,13,11,-2
cleanup,24,21,-3
generate,47,30,-17
since,161,104,-57
illegal_op,16,12,-4
opc,19,5,-14
modrm+sib+ofs,1,1,0
prefix,45,19,-26
limit,103,52,-51
15,101,69,-32
decode,9,3,-6
14,64,26,-38
ir,12,10,-2
upper,26,7,-19
pc_start,11,7,-4
pc,157,65,-92
following,102,41,-61
25,18,12,-6
instruction,85,35,-50
imm,8,6,-2
illegal,11,18,7
limits,13,10,-3
want,87,39,-48
meanwhile,1,3,2
safely,10,12,2
regardless,11,8,-3
completion_bh,1,4,3
completion,26,20,-6
restart,13,12,-1
qemu_bh_cancel,2,4,2
someone,4,4,0
cancel,4,15,11
function,195,89,-106
anyway,25,18,-7
pool-,1,3,2
scheduled,10,7,-3
recursive,7,8,1
really,33,15,-18
early,21,13,-8
ended,3,3,0
avoid,103,75,-28
restore,32,17,-15
zero,108,73,-35
target,130,72,-58
r,164,132,-32
retaddr,21,4,-17
tb_find_pc,4,1,-3
cpu_restore_state,14,3,-11
likely,30,23,-7
fixed,30,29,-1
tb_lock,11,7,-4
attempting,4,5,1
though,27,12,-15
still,82,50,-32
previously,11,13,2
survived,1,1,0
blowing,1,1,0
forgotten,2,1,-1
kvm_set_signal_mask,2,1,-1
barrier,14,10,-4
sig_setmask,4,7,3
run-,8,3,-5
matching,18,14,-4
kvm_run,7,4,-3
dummy_signal,1,1,0
exit_request,14,13,-1
sigact.sa_handler,1,1,0
reads,35,20,-15
kvm_cpu_exec,1,1,0
current_cpu,6,8,2
kvm_check_extension,46,12,-34
sig,16,20,4
pthread_sigmask,2,3,1
cpustate,215,106,-109
smp_rmb,4,3,-1
smp_wmb,6,7,1
kvm_run-,4,3,-1
atomic_set,17,13,-4
read,260,168,-92
immediate_exit,1,6,5
input,72,32,-40
qmp,55,28,-27
parameter,51,39,-12
unexpected,23,23,0
'foo,6,7,1
usbdevice,15,7,-8
object_unref,22,30,8
msdstate,2,1,-1
unrealize,22,11,-11
bus,156,83,-73
uc-,7,4,-3
usb_msd_unrealize_bot,1,1,0
0x10000000,11,7,-4
noexec,2,1,-1
storage,19,19,0
vsid,10,4,-6
guarded,8,1,-7
srr1,1,3,2
violates,1,1,0
powerpccpu,37,24,-13
basic,18,4,-14
page_read,28,7,-21
permissions,17,9,-8
hpte64_r_n,3,1,-2
guard,9,5,-4
hpte64_r_g,3,1,-2
srr1_noexec_guard,1,1,0
no-execute,1,1,0
exec,8,7,-1
page_exec,22,6,-16
execute,52,22,-30
slb_vsid_n,2,1,-1
page_write,30,5,-25
take,64,26,-38
ppc_hash_pte64_t,6,6,0
protection,21,7,-14
access,154,49,-105
~pp_prot,1,2,1
bits,181,90,-91
prot,48,13,-35
pte,21,9,-12
pte.pte1,4,5,1
slb-,5,7,2
path,155,129,-26
o_rdonly,10,18,8
rpath,14,25,11
buffer,145,126,-19
stbuf,6,7,1
fstatfs,2,2,0
close_preserve_errno,1,21,20
statfs,3,5,2
vd-,23,16,-7
lsock_tag,1,1,0
led,2,2,0
errno,136,116,-20
oldpath-,1,2,1
v9fs_sm_mapped_file,2,10,8
ctx-,89,74,-15
openat_dir,1,7,6
local_mapped_attr_path,1,6,5
link,33,28,-5
o_nofollow,1,8,7
ctx,126,107,-19
virtfs_meta_dir,3,8,5
serrno,4,9,5
export_flags,6,12,6
gets,19,14,-5
ram,66,33,-33
older,16,12,-4
d=,1,1,0
probably,23,23,0
failure,52,69,17
sure,83,57,-26
clear,61,41,-20
cpu_to_be64,17,13,-4
equivalent,11,3,-8
combinations,7,6,-1
make,172,107,-65
possible,69,45,-24
detects,1,3,2
place,33,15,-18
mismatch,13,8,-5
never,79,58,-21
ensure,53,40,-13
potential,6,6,0
causes,16,13,-3
s=,7,3,-4
different,62,40,-22
summary,3,4,1
from_src_file,1,1,0
ramblock,16,9,-7
sending,17,21,4
test,229,127,-102
ramblocks,1,1,0
grain,1,2,1
whole,42,17,-25
dest,41,14,-27
migration,81,44,-37
getpagesize,9,14,5
need,264,154,-110
two,77,47,-30
qlist_foreach_rcu,4,1,-3
ram_pagesize_summary,1,1,0
qemu_get_be64,3,2,-1
fine,16,9,-7
postcopy,8,2,-6
needs,67,43,-24
prix64,75,49,-26
normal,24,28,4
sizes,13,13,0
ram_list.blocks,8,6,-2
nice,6,1,-5
fails,20,32,12
mis-,5,7,2
huge,10,13,3
particular,111,73,-38
complicated,4,4,0
performed,18,11,-7
vms,6,2,-4
dirtying,1,1,0
ifdef,336,134,-202
left,33,27,-6
0x8000000000000000ull,5,6,1
60,13,15,2
0x0000000000000001ull,4,1,-3
licensed,103,39,-64
0x0000000080000000ull,2,1,-1
lgpl,18,9,-9
lower,32,14,-18
2,962,513,-449
int32_t,87,48,-39
0x0200000000000000ull,1,1,0
128-bit,2,2,0
exesuf,62,19,-43
45,4,4,0
0x0000000000000000ull,4,2,-2
check-unit-y,18,5,-13
0x0000000008000000ull,3,1,-2
directory,123,66,-57
qemu/host-utils.h,6,2,-4
64-bit,35,17,-18
126,4,4,0
0x0000000000000004ull,2,1,-1
gnu,167,96,-71
0x0008000000000000ull,2,1,-1
0x0000080000000000ull,2,1,-1
63,36,38,2
0x4000000000000000ull,2,4,2
0x0000000000000080ull,1,1,0
stored,40,11,-29
0x0000000000000100ull,1,1,0
terms,167,90,-77
-2,14,13,-1
124,6,3,-3
top-level,104,41,-63
copying.lib,18,9,-9
80,7,7,0
shift,34,34,0
0x0000000000010000ull,3,1,-2
words,14,7,-7
0x0000000000000008ull,1,1,0
0x1ull,9,7,-2
0x0000000000000010ull,2,1,-1
outside,28,13,-15
test_data,3,5,2
127,10,12,2
200,4,5,1
result,135,97,-38
mod,9,3,-6
pointers,15,5,-10
64,149,90,-59
128,68,39,-29
shifted,2,5,3
72,5,7,2
test-util-obj-y,8,5,-3
32,237,128,-109
int32_max,5,10,5
0x0800000000000000ull,1,1,0
0x0400000000000000ull,2,1,-1
qemu/osdep.h,55,23,-32
zero-extended,1,1,0
0x0000200000000000ull,2,1,-1
variables,15,8,-7
input/output,8,17,9
0x0080000000000000ull,2,1,-1
range,69,47,-22
0x0000000000000002ull,2,1,-1
pattern,18,16,-2
strtoul,14,7,-7
0xff,131,51,-80
int_max,40,29,-11
count,136,83,-53
res,65,62,-3
optarg,44,22,-22
depth,19,20,1
qemu_strtoul,5,2,-3
max_req,3,1,-2
log,38,30,-8
exp-,6,8,2
dev-,172,129,-43
exp,11,6,-5
error_report_err,26,26,0
clip,1,2,1
pci_dev,31,29,-2
pcidevice,67,53,-14
aer_cap,1,1,0
aer,1,1,0
qapi/error.h,38,24,-14
usage,37,16,-21
0xffff,68,28,-40
rc,65,56,-9
res-,14,16,2
iov,38,49,11
cmd-,31,23,-8
handle_ioreq,2,2,0
ioreq_t,2,2,0
mmio,24,15,-9
bad,43,36,-7
req-,41,46,5
xen_rmb,4,1,-3
uint32_t,658,338,-320
hw_error,26,22,-4
copy,144,108,-36
pio,5,9,4
req,53,49,-4
debug_tb_check,1,1,0
debug_tb_flush,1,1,0
//,99,42,-57
debug_tb_invalidate,1,1,0
mhz,2,2,0
qs,6,6,0
terminates,7,2,-5
application,8,6,-2
encountered,5,5,0
rcu_read_unlock,6,5,-1
rcu_read_lock,7,4,-3
